brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,duplicate
nan,,,Unknown,11,nan,655 First Street,Unknown,MA,nan,3.640811524334252e-05,,109
109978,,760000,Unknown,2,nan,-,,,nan,-,2021-12-22,-1
109987,Unknown,$490000,-,four,-1,229 Broadway Avenue,Corpus Christi,TX,nan,,04/03/19,-1
53173,s,$350000,three,-,0.9,Unknown,,Unknown,25425,Unknown,,-1
,s,Unknown,Unknown,-,6.1e-06,,Alexandria,VA,nan,-,-,115
,-,-,,,,Unknown,Spokane,WA,99207,0.00032648932506887054,,-1
101497,-,$129900,10,-,1.95,575 King Place,Eastover,SC,29044,0.0003719725665748393,09/20/21,-1
,for_sale,Unknown,Unknown,12,0.0064,Unknown,,Massachusetts,2631,1368.0,,"140,141"
53016,-,239000,9,-,0.56,-,Oak Ridge,-,37830,Unknown,2022-02-02,"148,149"
-1,Unknown,5879300,,3,0.0066,-,Sparks,,,1876.0,2004-09-10,128
nan,-,27800,Unknown,Unknown,0.0087,,Fairfax,Virginia,22030,Unknown,Unknown,108
nan,Unknown,$9317000,12,Unknown,,-,,IL,-1,3.5152662993572085e-06,11/30/21,-1
-1,Unknown,25700,10,2,nan,95 Meadow Ave,Somerset,-,nan,Unknown,2016-07-01,118
,Unknown,,11,Unknown,0.14,368 Shore Road,,FL,33542,3.945707070707071e-06,04/25/19,-1
81311,,$575000,10,,-1,Unknown,-,-,,,04/22/22,-1
,-,-,7,-,nan,550 Second Pl,Julian,,-1,130.0,,125
nan,f,$5382700,three,two,-1,81 Roosevelt Drive,Charlottesville,,22903,5.4235537190082644e-05,09/29/11,-1
31355,s,-,five,Unknown,nan,,Unknown,,55424,0.00029757805325987145,-,-1
-1,Unknown,61900,-,3,nan,47 Lincoln Rd,Bowie,,20720,-,2022-01-04,110
,,,-,9,65.0,-,-,NC,,-,Unknown,-1
78184,Unknown,$385000,,Unknown,nan,,North Port,FL,-1,2.90547520661157e-06,,"138,139"
81671,sold,Unknown,-,Unknown,46.0,651 Vista Blvd,-,-,65552,120.0,,-1
nan,-,$56600,,one,61.0,380 Valley Lane,-,OH,-1,4.003099173553719e-05,08/03/20,106
28222,,2450000,,4,60.0,,-,Unknown,90064,2751.0,Unknown,-1
8,-,Unknown,8,Unknown,,Unknown,-,WY,82007,,Unknown,-1
-1,s,-,-,,-1,168 Bridge Place,-,Unknown,63122,0.00031142389807162533,11/23/21,-1
-1,for_sale,,Unknown,11,,277 Princess Dr,Livermore,California,nan,1785.0,2022-04-22,122
-1,,-,-,9,57.0,864 Lake Lane,Irving,TX,75060,,12/09/21,-1
,s,,,9,,842 Cedar Drive,,CO,80550,9.462522956841138e-05,,-1
106177,f,$399500,,Unknown,,411 Wilson Avenue,Unknown,GA,-1,,06/03/02,-1
nan,for_sale,-,5,9,-1,217 Church Ln,Calabash,North Carolina,28467,3058.0,,111
,Unknown,$5200,8,two,0.41,672 West Place,Stuarts Draft,VA,,6.553460743801653e-05,,119
4630,for_sale,,4,12,nan,,Huntsville,Unknown,-1,2778.0,,-1
-1,,Unknown,Unknown,-,0.0045,Unknown,Fairview,Michigan,48621,17.0,2022-04-14,113
-1,sold,20564600,4,-,1.08,763 Adams Pl,Melbourne,Unknown,32934,83.0,-,-1
nan,s,$2703400,three,-,0.07,-,Vienna,VA,22180,0.0003252338728191001,04/22/22,-1
53232,for_sale,330000,2,,0.3,-,Kingston,-,12401,-,,-1
45913,Unknown,Unknown,,-,-1,94 Washington Ave,Queensbury,,12804,-,2021-11-23,-1
