brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,duplicate
81316,sold,749000,4,2,0.27,285 Center Ln,Fairfax,Virginia,22030,2948,2021-12-10,-1
96817,sold,425000,4,3,0.0066,"Pine Ave, 33",Alexandria,-,22309,2075,02/04/22,-1
53673,f,112900,3,two,0.5,169 Meadow St,Mount Pleasant,Michigan,48858,1524,2012-08-13,-1
nan,sold,$350000,8,2,1.07,70 Cedar Dr,Cumming,Georgia,30041,1681,2022-02-23,-1
19903,sold,849500,3,3,0.18,249 South Pl,Houston,Texas,77030,2150,2021-12-31,-1
20385,for_sale,599500,5,3,0.37,217 Church Ln,Calabash,North Carolina,28467,370.0,2020-03-24,-1
22792,sold,525000,3,2,0.59,"Adams Blvd, 977",Westford,Massachusetts,1886,2211,2021-11-19,85
104873,for_sale,888000,4,4,0.21,210 Church Ln,Houston,Texas,77082,8501.0,2013-09-26,-1
104876,sold,398000,3,2,0.11,981 Harbor Ave,Chicago,Illinois,-1,1171,2021-11-30,-1
58970,sold,949900,3,4,0.23,828 Spring St,Kensington,Maryland,20895,2500,2021-12-30,-1
94681,sold,409900,2,1,2.12,655 First St,Stockbridge,Massachusetts,1262,1015,2021-11-29,-1
78139,for_sale,425000,1,1,0.58,949 Franklin Blvd,Palisade,Colorado,81526,987,2006-07-06,-1
53138,sold,479000,3,3,0.22,47 Lincoln Rd,Bowie,Maryland,20720,2375,2022-01-04,-1
52946,f,150000,4,2,10.0,675 Circle Dr,Hulbert,Oklahoma,,1896,2018-04-19,109
687,sold,355000,3,2,0.19,272 Terrace Ln,Orlando,Florida,-1,6.686179981634527e-05,2021-12-08,-1
103967,for_sale,635000,3,3,0.23,885 Washington Ave,Iselin,New Jersey,8830,2000,2019-02-28,-1
109987,for_sale,490000,3,4,0.16,229 Broadway Ave,Corpus Christi,Texas,78418,2416,2019-04-03,"95,102"
2765,sold,585000,3,3,0.01,699 Wilson Dr,Crossville,Tennessee,38555,0.0001202364554637282,2022-04-15,-1
78460,for_sale,278900,3,2,0.7,95 Meadow Ave,Somerset,Kentucky,42503,1923,2016-07-01,-1
53232,for_sale,330000,2,1,0.3,225 Broadway Ct,Kingston,New York,12401,1062,2014-07-01,-1
22916,sold,376000,4,3,0.28,"Franklin Rd, 73",Jacksonville,North Carolina,28546,0.0001134211432506887,2022-04-25,-1
,for_sale,999000,3,two,0.15,277 Princess Dr,Livermore,California,94550,1785,2022-04-22,-1
81112,for_sale,115900,4,1,0.15,380 Valley Ln,Fairborn,Ohio,45324,1116,2020-08-03,-1
92736,for_sale,175000,3,2,0.26,862 King Blvd,Owasso,Oklahoma,74055,1144,12/29/17,-1
68269,sold,389854,3,2,0.15,144 Terrace Blvd,Caldwell,Idaho,83605,1574,2021-12-17,-1
32769,for_sale,1300000,2,3,27.59,550 Second Pl,Julian,California,92036,986,2020-05-15,-1
84529,for_sale,1075000,3,3,0.06,162 Mill St,Tustin,California,92782,1928,2011-11-14,44
22217,sold,898000,3,2,0.21,52 North Blvd,Alhambra,California,91803,1465,2022-04-08,-1
65293,for_sale,725000,3,3,1.04,715 Terrace Dr,Sparks,Nevada,89441,1876,2004-09-10,-1
7689,sold,98500,4,one,9.0,272 Broadway Ln,Fairview,Michigan,48621,2064,2022-04-14,-1
78247,sold,339900,3,2,0.28,676 South Blvd,Troy,Illinois,62294,1613,2022-01-26,-1
105798,for_sale,155990,4,3,0.21,195 Spring Ave,Albany,Indiana,47320,2009,2020-06-19,-1
2177,sold,$479900,3,2,0.13,842 Cedar Dr,Windsor,Colorado,80550,2638,2022-03-18,-1
26012,sold,259900,4,2,0.13,391 Bridge Rd,Great Falls,Unknown,59405,1632,2021-11-09,-1
96014,sold,370000,4,2,0.12,-,Spokane,Washington,99207,2084,2022-04-05,-1
48807,for_sale,375000,3,3,0.2,Unknown,San Antonio,Texas,78254,2346,2004-05-14,57
55214,sold,509900,3,3,0.2,603 Princess St,San Jacinto,California,92583,2383,2022-05-03,-1
53556,for_sale,$375000,5,3,0.3,611 Hill Pl,Wichita,Kansas,67207,2696,2021-11-12,67
84534,sold,689900,3,4,0.07,"Field Dr, 920",Vienna,Virginia,22180,2075,2022-04-22,-1
,for_sale,550000,3,2,0.22,81 Roosevelt Dr,Charlottesville,Virginia,22903,1512,2011-09-29,-1
84529,for_sale,1075000,3,7,0.06,162 Mill St,Tustin,California,92782,1928,2011-11-14,29
26543,sold,600000,4,3,1.08,"Adams Pl, 763",Melbourne,Florida,32934,3056,2022-01-21,-1
22671,sold,90000,3,2,0.09,553 Third Ct,Saint Louis,Missouri,63115,1152,2022-03-24,"76,88"
78075,sold,280000,11,1,0.06,686 East Ln,Reno,Nevada,89506,67.0,2021-11-19,-1
81824,sold,292677,5,3,0.29,63 Field Dr,Sumter,South Carolina,29154,3040,2021-12-22,-1
3479,sold,419000,5,4,0.3,864 Lake Ln,Irving,Texas,75060,3110,2021-12-09,-1
29538,for_sale,$1150000,3,2,0.37,223 Lake St,Long Beach,California,-1,1409,2016-06-10,-1
109950,sold,225000,3,2,0.23,414 Second Ln,-,Texas,76133,1552,2022-01-19,-1
nan,sold,317900,2,2,0.22,168 Bridge Pl,Kirkwood,Missouri,63122,2032,2021-11-23,-1
,sold,239000,3,2,0.56,829 Main Blvd,Oak Ridge,Tennessee,37830,1724,2022-02-02,-1
-1,for_sale,375000,3,3,0.2,"East Ave, 88",San Antonio,Texas,78254,2346,2004-05-14,39
21986,sold,$269900,4,3,0.17,614 Garden Ct,Pooler,Georgia,31322,2368,2021-12-30,-1
102016,for_sale,374900,3,10,0.14,"Shore Rd, 368",Zephyrhills,Florida,33542,1694,,-1
53377,sold,189900,4,1,0.28,286 Bridge Ln,Saint Louis,Unknown,63114,1624,2022-01-18,-1
8,for_sale,517300,three,2,35.0,624 River Ln,Cheyenne,Wyoming,82007,3018,2022-10-31,-1
53173,sold,350000,3,2,0.9,693 Ridge Pl,Harpers Ferry,West Virginia,25425,3220,2021-12-10,-1
31355,sold,2365000,5,5,0.19,592 Meadow Ave,Edina,Minnesota,55424,4905,2021-12-30,-1
