brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
,sold,409900,,1,2.12,655 First St,Stockbridge,Massachusetts,1262,1015.0,2021-11-29
109978,sold,760000,,2,0.36,760 Madison Ln,Unknown,California,92026,1888.0,2021-12-22
109987,Unknown,490000,-1,4,0.16,229 Broadway Ave,Corpus Christi,Texas,78418,-1.0,2019-04-03
53173,sold,350000,3,2,0.9,693 Ridge Pl,Harpers Ferry,West Virginia,25425,3220.0,Unknown
96817,sold,425000,4,3,0.06,33 Pine Ave,Alexandria,Virginia,,2075.0,2022-02-04
96014,sold,370000,4,2,-1,,Spokane,Washington,99207,2084.0,2022-04-05
101497,for_sale,129900,4,2,1.95,575 King Pl,Eastover,South Carolina,29044,2128.0,2021-09-20
10726,for_sale,,3,2,0.83,226 Square Rd,Brewster,Massachusetts,2631,1368.0,2001-07-06
53016,sold,239000,3,2,0.56,-,Oak Ridge,Tennessee,37830,,2022-02-02
65293,for_sale,725000,3,3,1.04,,Sparks,Nevada,89441,1876.0,2004-09-10
,sold,749000,4,,0.27,285 Center Ln,Fairfax,Virginia,22030,2948.0,2021-12-10
104876,Unknown,398000,3,2,0.11,,Chicago,Illinois,,1171.0,2021-11-30
78460,for_sale,278900,3,2,0.7,95 Meadow Ave,Somerset,Kentucky,42503,1923.0,2016-07-01
102016,for_sale,374900,3,2,0.14,368 Shore Rd,Zephyrhills,Florida,33542,1694.0,2019-04-25
81311,sold,575000,5,4,-1,827 Elm Ct,Leland,North Carolina,28451,3057.0,2022-04-22
32769,-,1300000,2,3,27.59,550 Second Pl,Julian,,92036,986.0,2020-05-15
24268,for_sale,550000,3,2,0.22,81 Roosevelt Dr,Charlottesville,Virginia,22903,1512.0,2011-09-29
31355,sold,2365000,5,5,,592 Meadow Ave,Edina,-,55424,4905.0,2021-12-30
53138,sold,479000,3,3,0.22,47 Lincoln Rd,Bowie,Maryland,20720,,2022-01-04
97679,sold,440000,3,3,0.07,82 Lincoln Ave,Charlotte,North Carolina,,-1.0,
78184,-,385000,3,3,0.23,390 Madison Ct,North Port,Florida,34286,1708.0,2022-03-18
81671,sold,325000,3,2,8.36,651 Vista Blvd,Plato,Missouri,65552,1784.0,2021-12-17
,Unknown,115900,4,1,0.15,380 Valley Ln,Unknown,Ohio,45324,1116.0,2020-08-03
28222,sold,2450000,4,4,0.19,687 Wilson Ave,Los Angeles,California,90064,2751.0,2022-02-22
8,for_sale,,3,-1,35.0,624 River Ln,Cheyenne,Wyoming,82007,3018.0,2022-10-31
75016,sold,317900,2,2,0.22,168 Bridge Pl,-,Unknown,63122,2032.0,2021-11-23
57424,for_sale,-1,3,2,0.15,277 Princess Dr,Livermore,California,94550,1785.0,2022-04-22
3479,sold,,5,4,0.3,864 Lake Ln,Irving,Texas,75060,3110.0,2021-12-09
2177,sold,479900,3,2,0.13,842 Cedar Dr,,Colorado,80550,2638.0,2022-03-18
106177,for_sale,399500,3,3,0.27,411 Wilson Ave,,Georgia,31405,1760.0,2002-06-03
20385,for_sale,599500,5,3,0.37,217 Church Ln,Calabash,North Carolina,28467,3058.0,2020-03-24
59082,sold,249900,3,2,0.41,672 West Pl,Stuarts Draft,Virginia,24477,1827.0,2022-02-14
4630,for_sale,519950,4,3,0.13,906 Mill Blvd,Huntsville,Alabama,35801,2778.0,
7689,sold,98500,4,-1,9.0,272 Broadway Ln,Fairview,Michigan,48621,2064.0,2022-04-14
26543,sold,600000,4,,1.08,763 Adams Pl,Melbourne,Florida,32934,3056.0,2022-01-21
84534,sold,689900,3,4,0.07,920 Field Dr,Vienna,Virginia,22180,2075.0,2022-04-22
53232,for_sale,330000,2,1,0.3,225 Broadway Ct,Kingston,New York,12401,1062.0,2014-07-01
45913,sold,250000,,,0.86,94 Washington Ave,Queensbury,New York,12804,,2021-11-23
45807,for_sale,375000,-1,2,,157 Market Pl,New Middletown,Ohio,44442,1747.0,1991-04-17
-1,for_sale,-1,5,3,0.3,611 Hill Pl,Wichita,Unknown,67207,2696.0,2021-11-12
26012,sold,259900,4,2,,391 Bridge Rd,Great Falls,,59405,1632.0,2021-11-09
22611,for_sale,215000,3,2,0.12,995 Maple Ave,-,Illinois,60409,1304.0,2013-08-15
2765,sold,,3,3,4.44,699 Wilson Dr,Crossville,Tennessee,38555,3352.0,Unknown
56699,sold,249900,3,2,0.29,115 Roosevelt Pl,Ellisville,Missouri,,2037.0,2022-03-04
-1,for_sale,1075000,3,,0.06,162 Mill St,Tustin,California,92782,,2011-11-14
,sold,525000,3,2,0.59,977 Adams Blvd,Westford,Massachusetts,1886,2211.0,2021-11-19
15757,for_sale,69900,3,1,0.17,520 View Rd,Enid,Oklahoma,73701,1333.0,2016-06-09
92736,for_sale,175000,3,2,-1,862 King Blvd,-,Oklahoma,74055,1144.0,2017-12-29
34888,sold,389000,3,2,0.22,383 Market St,Houston,Texas,77025,1696.0,2021-12-16
21986,sold,269900,4,3,0.17,614 Garden Ct,Pooler,Georgia,31322,2368.0,2021-12-30
107955,for_sale,2199000,3,3,0.3,20 First Dr,Hingham,-,2043,3650.0,1992-10-22
22721,sold,799999,4,4,0.15,900 Baker Ln,Natick,Massachusetts,1760,3422.0,2022-04-05
76215,sold,339000,3,3,0.34,60 Franklin Ave,Bella Vista,Arkansas,72714,2035.0,2021-12-07
,for_sale,375000,3,3,0.2,88 East Ave,San Antonio,,78254,2346.0,2004-05-14
53592,for_sale,-1,4,6,2.1,779 Third Blvd,Mchenry,Illinois,60050,4145.0,2020-04-02
78247,-,339900,3,2,0.28,676 South Blvd,Troy,Illinois,62294,1613.0,-
687,sold,355000,3,2,0.19,272 Terrace Ln,Orlando,Florida,32828,1864.0,2021-12-08
22611,-,280000,4,2,0.19,952 King Rd,Monroeville,-,15146,1874.0,2022-04-19
57424,sold,935000,5,5,0.16,409 Wood Ct,Manteca,California,95337,3789.0,2022-02-18
23017,sold,240000,3,2,0.2,-,Moses Lake,Washington,98837,1670.0,2022-03-09
79245,for_sale,,5,5,0.42,254 Princess Ave,Bettendorf,Iowa,52722,3765.0,2016-11-21
86329,for_sale,699000,4,5,14.25,347 Oak Ln,Wetumpka,Alabama,36092,4758.0,2015-02-19
55214,sold,509900,,3,0.2,603 Princess St,San Jacinto,California,92583,2383.0,2022-05-03
81031,sold,219000,3,2,,-,Chambersburg,Pennsylvania,17202,1189.0,2021-11-24
10437,sold,350000,3,2,1.07,70 Cedar Dr,Cumming,Georgia,30041,1681.0,-
22916,sold,,4,3,0.28,73 Franklin Rd,Jacksonville,North Carolina,28546,3162.0,2022-04-25
78075,sold,280000,2,1,0.06,686 East Ln,Reno,Nevada,89506,851.0,2021-11-19
22671,sold,90000,3,2,0.09,553 Third Ct,Saint Louis,Missouri,63115,-1,2022-03-24
19903,sold,849500,3,3,0.18,249 South Pl,Houston,Texas,77030,2150.0,Unknown
105798,,155990,4,3,0.21,Unknown,Albany,Indiana,47320,2009.0,2020-06-19
,for_sale,150000,4,2,10.0,675 Circle Dr,Hulbert,Oklahoma,74441,1896.0,2018-04-19
53177,for_sale,105000,3,,0.24,Unknown,Woodward,Oklahoma,-1,2036.0,
103967,for_sale,635000,3,3,0.23,885 Washington Ave,Iselin,New Jersey,8830,2000.0,2019-02-28
81824,sold,292677,5,-1,0.29,63 Field Dr,Sumter,South Carolina,29154,,2021-12-22
19415,for_sale,309000,3,2,3.0,820 View Ln,Ojibwa,Wisconsin,54862,2025.0,2020-02-04
108243,sold,499000,3,3,0.18,197 Meadow Ct,Unknown,Washington,-1,2289.0,2022-03-30
68269,sold,389854,,2,0.15,144 Terrace Blvd,-,Idaho,83605,1574.0,2021-12-17
53377,sold,189900,4,1,0.28,286 Bridge Ln,Saint Louis,Missouri,63114,1624.0,2022-01-18
54093,for_sale,265000,,1,0.03,896 Sunset Ct,Marathon,Florida,,321.0,-
58970,,949900,3,4,0.23,-,Kensington,-,,2500.0,2021-12-30
-1,for_sale,774000,6,4,0.35,668 Maple Ave,Saratoga Springs,Unknown,-1,3625.0,2019-04-19
78139,for_sale,425000,1,1,0.58,949 Franklin Blvd,,Colorado,81526,987.0,2006-07-06
