brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
94681,sold,409900,2,1,40.99,655 First St,Houston,Texas,77030,40990,2021-11-29
109978,sold,760000,3,2,91.2,760 Madison Ln,Saratoga Springs,Utah,84043,83600,2021-12-22
109987,for_sale,490000,3,4,44.1,229 Broadway Ave,Orlando,Florida,32828,46550,2019-04-03
53173,sold,350000,3,2,28.000000000000004,693 Ridge Pl,Los Angeles,California,90064,36750,2021-12-10
96817,sold,425000,4,3,42.5,33 Pine Ave,Houston,Texas,77030,42500,2022-02-04
96014,sold,370000,4,2,44.4,224 Lincoln St,Saratoga Springs,Utah,84043,40700,2022-04-05
101497,for_sale,129900,4,2,11.691,575 King Pl,Orlando,Florida,32828,12340,2021-09-20
10726,for_sale,425000,3,2,34.0,226 Square Rd,Los Angeles,California,90064,44625,2001-07-06
53016,sold,239000,3,2,23.900000000000002,829 Main Blvd,Houston,Texas,77030,23900,2022-02-02
65293,for_sale,725000,3,3,87.0,715 Terrace Dr,Saratoga Springs,Utah,84043,79750,2004-09-10
81316,sold,749000,4,2,67.41000000000001,285 Center Ln,Orlando,Florida,32828,71155,2021-12-10
104876,sold,398000,3,2,31.840000000000003,981 Harbor Ave,Los Angeles,California,90064,41790,2021-11-30
78460,for_sale,278900,3,2,27.89,95 Meadow Ave,Houston,Texas,77030,27890,2016-07-01
102016,for_sale,374900,3,2,44.988,368 Shore Rd,Saratoga Springs,Utah,84043,41239,2019-04-25
81311,sold,575000,5,4,51.75,827 Elm Ct,Orlando,Florida,32828,54625,2022-04-22
32769,for_sale,1300000,2,3,104.00000000000001,550 Second Pl,Los Angeles,California,90064,136500,2020-05-15
24268,for_sale,550000,3,2,55.0,81 Roosevelt Dr,Houston,Texas,77030,55000,2011-09-29
31355,sold,2365000,5,5,283.8,592 Meadow Ave,Saratoga Springs,Utah,84043,260150,2021-12-30
53138,sold,479000,3,3,43.11,47 Lincoln Rd,Orlando,Florida,32828,45505,2022-01-04
97679,sold,440000,3,3,35.2,82 Lincoln Ave,Los Angeles,California,90064,46200,2022-03-07
78184,sold,385000,3,3,38.5,390 Madison Ct,Houston,Texas,77030,38500,2022-03-18
81671,sold,325000,3,2,39.0,651 Vista Blvd,Saratoga Springs,Utah,84043,35750,2021-12-17
81112,for_sale,115900,4,1,10.431000000000001,380 Valley Ln,Orlando,Florida,32828,11010,2020-08-03
28222,sold,2450000,4,4,196.00000000000003,687 Wilson Ave,Los Angeles,California,90064,257250,2022-02-22
8,for_sale,517300,3,2,51.730000000000004,624 River Ln,Houston,Texas,77030,51730,2022-10-31
75016,sold,317900,2,2,38.148,168 Bridge Pl,Saratoga Springs,Utah,84043,34969,2021-11-23
57424,for_sale,999000,3,2,89.91000000000001,277 Princess Dr,Orlando,Florida,32828,94905,2022-04-22
3479,sold,419000,5,4,33.52,864 Lake Ln,Los Angeles,California,90064,43995,2021-12-09
2177,sold,479900,3,2,47.99,842 Cedar Dr,Houston,Texas,77030,47990,2022-03-18
106177,for_sale,399500,3,3,47.94,411 Wilson Ave,Saratoga Springs,Utah,84043,43945,2002-06-03
20385,for_sale,599500,5,3,53.955000000000005,217 Church Ln,Orlando,Florida,32828,56952,2020-03-24
59082,sold,249900,3,2,19.992,672 West Pl,Los Angeles,California,90064,26239,2022-02-14
4630,for_sale,519950,4,3,51.995000000000005,906 Mill Blvd,Houston,Texas,77030,51995,2020-03-09
7689,sold,98500,4,1,11.82,272 Broadway Ln,Saratoga Springs,Utah,84043,10835,2022-04-14
26543,sold,600000,4,3,54.0,763 Adams Pl,Orlando,Florida,32828,57000,2022-01-21
84534,sold,689900,3,4,55.19200000000001,920 Field Dr,Los Angeles,California,90064,72439,2022-04-22
53232,for_sale,330000,2,1,33.0,225 Broadway Ct,Houston,Texas,77030,33000,2014-07-01
45913,sold,250000,3,2,30.0,94 Washington Ave,Saratoga Springs,Utah,84043,27500,2021-11-23
45807,for_sale,375000,3,2,33.75,157 Market Pl,Orlando,Florida,32828,35625,1991-04-17
53556,for_sale,375000,5,3,30.000000000000004,611 Hill Pl,Los Angeles,California,90064,39375,2021-11-12
26012,sold,259900,4,2,25.990000000000002,391 Bridge Rd,Houston,Texas,77030,25990,2021-11-09
22611,for_sale,215000,3,2,25.8,995 Maple Ave,Saratoga Springs,Utah,84043,23650,2013-08-15
2765,sold,585000,3,3,52.650000000000006,699 Wilson Dr,Orlando,Florida,32828,55575,2022-04-15
56699,sold,249900,3,2,19.992,115 Roosevelt Pl,Los Angeles,California,90064,26239,2022-03-04
84529,for_sale,1075000,3,3,107.5,162 Mill St,Houston,Texas,77030,107500,2011-11-14
22792,sold,525000,3,2,63.0,977 Adams Blvd,Saratoga Springs,Utah,84043,57750,2021-11-19
15757,for_sale,69900,3,1,6.291,520 View Rd,Orlando,Florida,32828,6640,2016-06-09
92736,for_sale,175000,3,2,14.000000000000002,862 King Blvd,Los Angeles,California,90064,18375,2017-12-29
34888,sold,389000,3,2,38.9,383 Market St,Houston,Texas,77030,38900,2021-12-16
21986,sold,269900,4,3,32.388,614 Garden Ct,Saratoga Springs,Utah,84043,29689,2021-12-30
107955,for_sale,2199000,3,3,197.91000000000003,20 First Dr,Orlando,Florida,32828,208905,1992-10-22
22721,sold,799999,4,4,63.99992,900 Baker Ln,Los Angeles,California,90064,83999,2022-04-05
76215,sold,339000,3,3,33.9,60 Franklin Ave,Houston,Texas,77030,33900,2021-12-07
48807,for_sale,375000,3,3,45.0,88 East Ave,Saratoga Springs,Utah,84043,41250,2004-05-14
53592,for_sale,619900,4,6,55.791000000000004,779 Third Blvd,Orlando,Florida,32828,58890,2020-04-02
78247,sold,339900,3,2,27.192000000000004,676 South Blvd,Los Angeles,California,90064,35689,2022-01-26
687,sold,355000,3,2,35.5,272 Terrace Ln,Houston,Texas,77030,35500,2021-12-08
22611,sold,280000,4,2,33.6,952 King Rd,Saratoga Springs,Utah,84043,30800,2022-04-19
57424,sold,935000,5,5,84.15,409 Wood Ct,Orlando,Florida,32828,88825,2022-02-18
23017,sold,240000,3,2,19.200000000000003,922 Square Ave,Los Angeles,California,90064,25200,2022-03-09
79245,for_sale,599900,5,5,59.99,254 Princess Ave,Houston,Texas,77030,59990,2016-11-21
86329,for_sale,699000,4,5,83.88,347 Oak Ln,Saratoga Springs,Utah,84043,76890,2015-02-19
55214,sold,509900,3,3,45.891000000000005,603 Princess St,Orlando,Florida,32828,48440,2022-05-03
81031,sold,219000,3,2,17.520000000000003,73 Lake Ln,Los Angeles,California,90064,22995,2021-11-24
10437,sold,350000,3,2,35.0,70 Cedar Dr,Houston,Texas,77030,35000,2022-02-23
22916,sold,376000,4,3,45.120000000000005,73 Franklin Rd,Saratoga Springs,Utah,84043,41360,2022-04-25
78075,sold,280000,2,1,25.200000000000003,686 East Ln,Orlando,Florida,32828,26600,2021-11-19
22671,sold,90000,3,2,7.2,553 Third Ct,Los Angeles,California,90064,9450,2022-03-24
19903,sold,849500,3,3,84.95,249 South Pl,Houston,Texas,77030,84950,2021-12-31
105798,for_sale,155990,4,3,18.7188,195 Spring Ave,Saratoga Springs,Utah,84043,17158,2020-06-19
52946,for_sale,150000,4,2,13.5,675 Circle Dr,Orlando,Florida,32828,14250,2018-04-19
53177,for_sale,105000,3,2,8.4,434 Court Ct,Los Angeles,California,90064,11025,2007-06-29
103967,for_sale,635000,3,3,63.5,885 Washington Ave,Houston,Texas,77030,63500,2019-02-28
81824,sold,292677,5,3,35.12124,63 Field Dr,Saratoga Springs,Utah,84043,32194,2021-12-22
19415,for_sale,309000,3,2,27.810000000000002,820 View Ln,Orlando,Florida,32828,29355,2020-02-04
108243,sold,499000,3,3,39.92,197 Meadow Ct,Los Angeles,California,90064,52395,2022-03-30
68269,sold,389854,3,2,38.9854,144 Terrace Blvd,Houston,Texas,77030,38985,2021-12-17
53377,sold,189900,4,1,22.788,286 Bridge Ln,Saratoga Springs,Utah,84043,20889,2022-01-18
54093,for_sale,265000,1,1,23.85,896 Sunset Ct,Orlando,Florida,32828,25175,2004-09-20
58970,sold,949900,3,4,75.992,828 Spring St,Los Angeles,California,90064,99739,2021-12-30
51274,for_sale,774000,6,4,77.4,668 Maple Ave,Houston,Texas,77030,77400,2019-04-19
78139,for_sale,425000,1,1,51.0,949 Franklin Blvd,Saratoga Springs,Utah,84043,46750,2006-07-06
33901,for_sale,225000,2,2,20.25,417 East Ct,Orlando,Florida,32828,21375,2017-07-26
16829,sold,350000,4,2,28.000000000000004,219 Field St,Los Angeles,California,90064,36750,2022-03-31
53673,for_sale,112900,3,2,11.290000000000001,169 Meadow St,Houston,Texas,77030,11290,2012-08-13
16829,for_sale,1979000,6,6,237.48000000000002,400 Adams Ct,Saratoga Springs,Utah,84043,217690,2017-05-05
45936,for_sale,539900,3,2,48.591,293 Terrace Ct,Orlando,Florida,32828,51290,2015-06-15
85655,sold,249900,3,1,19.992,159 Meadow Rd,Los Angeles,California,90064,26239,2022-02-04
29538,for_sale,1150000,3,2,115.0,223 Lake St,Houston,Texas,77030,115000,2016-06-10
75073,for_sale,375000,3,1,45.0,766 Church St,Saratoga Springs,Utah,84043,41250,2020-07-06
22217,sold,898000,3,2,80.82000000000001,52 North Blvd,Orlando,Florida,32828,85310,2022-04-08
5145,sold,750000,3,4,60.00000000000001,59 Park Blvd,Los Angeles,California,90064,78750,2022-01-10
82978,for_sale,335000,3,2,33.5,71 Hill Ln,Houston,Texas,77030,33500,2013-05-01
109950,sold,225000,3,2,27.0,414 Second Ln,Saratoga Springs,Utah,84043,24750,2022-01-19
56084,sold,279900,2,2,25.191000000000003,593 Elm Ave,Orlando,Florida,32828,26590,2021-12-17
10649,sold,219900,3,2,17.592000000000002,430 Church Rd,Los Angeles,California,90064,23089,2022-04-13
104873,for_sale,888000,4,4,88.8,210 Church Ln,Houston,Texas,77030,88800,2013-09-26
22562,for_sale,210000,3,2,25.2,272 Farm Blvd,Saratoga Springs,Utah,84043,23100,2010-10-14
78200,sold,149000,3,2,13.41,688 Garfield Ct,Orlando,Florida,32828,14155,2022-02-09
78167,sold,350000,3,2,28.000000000000004,324 Sunset St,Los Angeles,California,90064,36750,2022-04-01
