brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
94681,sold,22500,8,10,0.0097,655 First St,Stockbridge,Massachusetts,1262,1015.0,2021-11-29
109978,sold,760000,7,2,0.0069,760 Madison Ln,Escondido,California,92026,1888.0,2021-12-22
109987,for_sale,490000,7,4,0.0081,229 Broadway Ave,Corpus Christi,Texas,78418,2416.0,2019-04-03
53173,sold,350000,3,2,0.9,693 Ridge Pl,Harpers Ferry,West Virginia,25425,8503.0,2021-12-10
96817,sold,6900,4,7,0.0066,33 Pine Ave,Alexandria,Virginia,22309,10500.0,2022-02-04
96014,sold,13120800,8,7,66.0,224 Lincoln St,Spokane,Washington,99207,8259.0,2022-04-05
101497,for_sale,129900,10,2,1.95,575 King Pl,Eastover,South Carolina,29044,11300.0,2021-09-20
10726,for_sale,13553800,3,7,0.0045,226 Square Rd,Brewster,Massachusetts,2631,1368.0,2001-07-06
53016,sold,239000,10,2,0.56,829 Main Blvd,Oak Ridge,Tennessee,37830,9087.0,2022-02-02
65293,for_sale,17419500,10,3,0.01,715 Terrace Dr,Sparks,Nevada,89441,1876.0,2004-09-10
81316,sold,60200,8,2,0.015,285 Center Ln,Fairfax,Virginia,22030,5.8,2021-12-10
104876,sold,14840700,8,2,0.11,981 Harbor Ave,Chicago,Illinois,60659,90.0,2021-11-30
78460,for_sale,7200,7,2,0.7,95 Meadow Ave,Somerset,Kentucky,42503,1923.0,2016-07-01
102016,for_sale,19389200,10,9,0.14,368 Shore Rd,Zephyrhills,Florida,33542,6.4,2019-04-25
81311,sold,575000,8,4,0.22,827 Elm Ct,Leland,North Carolina,28451,9085.0,2022-04-22
32769,for_sale,16585600,10,12,27.59,550 Second Pl,Julian,California,92036,120.0,2020-05-15
24268,for_sale,19724800,3,2,0.22,81 Roosevelt Dr,Charlottesville,Virginia,22903,1512.0,2011-09-29
31355,sold,2365000,5,8,0.19,592 Meadow Ave,Edina,Minnesota,55424,9342.0,2021-12-30
53138,sold,700,12,3,0.014,47 Lincoln Rd,Bowie,Maryland,20720,2375.0,2022-01-04
97679,sold,21562200,7,11,67.0,82 Lincoln Ave,Charlotte,North Carolina,28210,2053.0,2022-03-07
78184,sold,385000,7,3,0.0083,390 Madison Ct,North Port,Florida,34286,160.0,2022-03-18
81671,sold,325000,3,8,67.0,651 Vista Blvd,Plato,Missouri,65552,140.0,2021-12-17
81112,for_sale,56700,12,1,62.0,380 Valley Ln,Fairborn,Ohio,45324,1116.0,2020-08-03
28222,sold,2450000,10,4,48.0,687 Wilson Ave,Los Angeles,California,90064,2751.0,2022-02-22
8,for_sale,517300,9,9,35.0,624 River Ln,Cheyenne,Wyoming,82007,69.0,2022-10-31
75016,sold,20101800,2,11,51.0,168 Bridge Pl,Kirkwood,Missouri,63122,10350.0,2021-11-23
57424,for_sale,68500,3,12,0.0052,277 Princess Dr,Livermore,California,94550,1785.0,2022-04-22
3479,sold,14692700,8,7,48.0,864 Lake Ln,Irving,Texas,75060,3110.0,2021-12-09
2177,sold,14848700,3,12,50.0,842 Cedar Dr,Windsor,Colorado,80550,2638.0,2022-03-18
106177,for_sale,399500,3,3,53.0,411 Wilson Ave,Savannah,Georgia,31405,26.0,2002-06-03
20385,for_sale,7200,5,11,0.37,217 Church Ln,Calabash,North Carolina,28467,3058.0,2020-03-24
59082,sold,52600,12,2,0.41,672 West Pl,Stuarts Draft,Virginia,24477,1827.0,2022-02-14
4630,for_sale,519950,4,11,0.13,906 Mill Blvd,Huntsville,Alabama,35801,2778.0,2020-03-09
7689,sold,6000,8,11,0.0037,272 Broadway Ln,Fairview,Michigan,48621,110.0,2022-04-14
26543,sold,11737600,4,3,1.08,763 Adams Pl,Melbourne,Florida,32934,89.0,2022-01-21
